prn,epoch,x_km,y_km,z_km,vx,vy,vz
R02,2020-01-02 03:45,-22310.6489,-3802.6934,-11676.8472,1.612911,0.015932,-3.083658
R02,2020-01-02 04:15,-18783.2656,-4093.9590,-16701.7261,2.269656,-0.366738,-2.463104
R02,2020-01-02 04:45,-14293.7710,-5193.8672,-20428.9800,2.671288,-0.866802,-1.651319
R02,2020-01-02 05:15,-9345.8291,-7223.0249,-22569.6055,2.775834,-1.380970,-0.711754
R02,2020-01-02 05:45,-4477.2783,-10108.1602,-22958.5518,2.587730,-1.800252,0.282248
R02,2020-01-02 06:15,-176.6318,-13588.8306,-21567.3076,2.156473,-2.028707,1.253331
R02,2020-01-02 06:45,3191.1538,-17256.3521,-18505.6221,1.567829,-1.999976,2.126244
R02,2020-01-02 07:15,5437.4458,-20618.3701,-14012.3779,0.929125,-1.688848,2.833686
R02,2020-01-02 07:45,6572.7461,-23178.2573,-8436.5020,0.351151,-1.115936,3.321460
R02,2020-01-02 08:15,6796.1357,-24516.1162,-2209.5522,-0.070291,-0.344771,3.552520
R02,2020-01-02 08:45,6453.4912,-24358.0034,4187.7910,-0.270150,0.528180,3.509656
R02,2020-01-02 09:15,5971.7290,-22622.0464,10262.6997,-0.224645,1.388854,3.196637
R02,2020-01-02 09:45,5780.1841,-19433.9731,15547.8091,0.045155,2.123754,2.637787
R02,2020-01-02 10:15,6232.2271,-15109.6279,19636.6855,0.477157,2.637970,1.876044
R02,2020-01-02 10:45,7540.0747,-10107.3765,22214.5918,0.978868,2.870160,0.969712
R02,2020-01-02 11:15,9733.5459,-4958.1392,23082.3677,1.443017,2.802094,-0.011890
R02,2020-01-02 11:45,12649.6123,-184.3354,22171.7461,1.765677,2.461263,-0.993550
R02,2020-01-02 12:15,15954.6421,3779.2158,19550.9678,1.863974,1.916121,-1.899757
R02,2020-01-02 12:45,19195.9404,6649.6484,15420.1709,1.690477,1.264679,-2.660409
R02,2020-01-02 13:15,21874.3857,8335.1709,10096.7085,1.241909,0.618246,-3.216230
R02,2020-01-02 13:45,23526.3604,8942.4727,3991.2559,0.560598,0.082933,-3.523510
R02,2020-01-02 14:15,23801.4287,8751.0889,-2423.6553,-0.271656,-0.258036,-3.557722
R02,2020-01-02 14:45,22522.7026,8158.9229,-8650.3481,-1.146425,-0.358222,-3.315674
R02,2020-01-02 15:15,19719.5522,7608.0537,-14205.0464,-1.946108,-0.215652,-2.815921
R02,2020-01-02 15:45,15626.9263,7503.4331,-18656.0381,-2.563039,0.127087,-2.097374
R02,2020-01-02 16:15,10651.2070,8138.3667,-21657.7471,-2.917020,0.590372,-1.216181
R02,2020-01-02 16:45,5308.2598,9639.5361,-22977.8667,-2.968244,1.071416,-0.241194
R02,2020-01-02 17:15,144.0522,11940.9619,-22515.3525,-2.723461,1.462077,0.751576
R02,2020-01-02 17:45,-4348.8887,14791.2949,-20307.8936,-2.234384,1.667551,1.685013
R02,2020-01-02 18:15,-7805.3218,17793.1572,-16528.4214,-1.588678,1.622776,2.486947
R02,2020-01-02 18:45,-10039.3623,20467.8467,-11471.0840,-0.895125,1.303815,3.095727
R02,2020-01-02 19:15,-11066.4346,22334.5205,-5527.9551,-0.265480,0.732348,3.464883
R02,2020-01-02 19:45,-11091.8579,22990.6621,841.5898,0.203946,-0.027412,3.566558
R02,2020-01-02 20:15,-10468.3335,22180.5044,7146.3730,0.447942,-0.878814,3.393473
R02,2020-01-02 20:45,-9629.6841,19840.1875,12901.0513,0.442769,-1.708161,2.959321
R02,2020-01-02 21:15,-9011.9971,16112.2979,17663.0430,0.209600,-2.402866,2.297606
R02,2020-01-02 21:45,-8975.2769,11327.4678,21066.0605,-0.189465,-2.869394,1.459054
R02,2020-01-02 22:15,-9738.5181,5956.0303,22847.8428,-0.662117,-3.048142,0.507802
R02,2020-01-02 22:45,-11338.8896,537.5156,22870.1392,-1.101544,-2.922849,-0.483353
R02,2020-01-02 23:15,-13621.8062,-4400.6914,21129.5200,-1.404576,-2.523060,-1.438344
R02,2020-01-02 23:45,-16263.6899,-8422.4673,17758.1475,-1.489363,-1.919217,-2.283530
R03,2020-01-02 00:15,3460.3491,17115.5298,18649.0615,-1.631486,-1.954000,2.095062
R03,2020-01-02 00:45,-15.7661,13552.1191,21654.1060,-2.211708,-1.959995,1.222261
R03,2020-01-02 01:15,-4402.5449,10209.9668,22992.3735,-2.627276,-1.716636,0.254990
R03,2020-01-02 01:45,-9325.1943,7481.0137,22559.7935,-2.796143,-1.292912,-0.732680
R03,2020-01-02 02:15,-14292.4077,5605.9570,20388.0752,-2.672771,-0.785448,-1.664897
R03,2020-01-02 02:45,-18770.2891,4638.7979,16642.7861,-2.256137,-0.302081,-2.469727
R03,2020-01-02 03:15,-22264.3335,4443.0586,11611.2900,-1.590543,0.056435,-3.084656
R03,2020-01-02 03:45,-24396.1665,4720.3960,5681.2329,-0.759032,0.213616,-3.461522
R03,2020-01-02 04:15,-24962.3740,5066.9702,-688.9971,0.129654,0.130466,-3.570437
R03,2020-01-02 04:45,-23965.5400,5048.2407,-7005.7002,0.958489,-0.187580,-3.402349
R03,2020-01-02 05:15,-21612.1382,4279.5933,-12778.4429,1.621062,-0.691224,-2.969942
R03,2020-01-02 05:45,-18277.4604,2499.0825,-17558.6470,2.038767,-1.295388,-2.306739
R03,2020-01-02 06:15,-14443.3979,-380.2246,-20974.9785,2.173337,-1.893466,-1.464468
R03,2020-01-02 06:45,-10619.5454,-4247.3579,-22762.5757,2.032576,-2.375329,-0.508901
